MNN-TR-I       | @HI{{min'nano}}@KJ{{day^book^word}}@KJ{{first*time^class}} I. Translation &amp; Grammatical Notes | Minna no Nihongo Elementary Level I.
MNN-JP-I       | @HI{{min'nano}}@KJ{{day^book^word}}@KJ{{first*time^class}} I. Japanese Textbook | Minna no Nihongo Elementary Level I.
MNN-TR-II      | @HI{{min'nano}}@KJ{{day^book^word}}@KJ{{first*time^class}} II. Translation &amp; Grammatical Notes | Minna no Nihongo Elementary Level II.
MNN-JP-II      | @HI{{min'nano}}@KJ{{day^book^word}}@KJ{{first*time^class}} II. Japanese Textbook | Minna no Nihongo Elementary Level II.
MNN-INT-TR-I   | @HI{{min'nano}}@KJ{{day^book^word}}@KJ{{in^class}} I. Translation &amp; Grammatical Notes | Minna no Nihongo Intermediate Level I.
MNN-INT-JP-I   | @HI{{min'nano}}@KJ{{day^book^word}}@KJ{{in^class}} I. Japanese Textbook | Minna no Nihongo Intermediate Level I.
MNN-INT-TR-II  | @HI{{min'nano}}@KJ{{day^book^word}}@KJ{{in^class}} II. Translation &amp; Grammatical Notes | Minna no Nihongo Intermediate Level II.
MNN-INT-JP-II  | @HI{{min'nano}}@KJ{{day^book^word}}@KJ{{in^class}} II. Japanese Textbook | Minna no Nihongo Intermediate Level II.
JWATU          | Japanese Words and Their Uses |
EJG            | Essential Japanese Grammar: A Comprehensive Guide to Contemporary Usage |
HOJG           | Handbook of Japanese Grammar |
UDEMY-N1       | Udemy Online N1 Course       |
UDEMY-N2       | Udemy Online N2 Course       |
